Module,Score,Price ($),Price Efficiency (Score/$),URL
Kingston KF5333C20D4/8GX 8GB,24591,,,
G Skill Intl F4-3600C14-16GVK 16GB,24547,,,
G Skill Intl F4-4400C17-16GVK 16GB,24515,,,
G Skill Intl F4-4266C17-16GTZRB 16GB,24494,,,
Corsair CMT32GX4M4C3466C16 8GB,24480,,,
G Skill Intl F4-4266C16-16GVK 16GB,24471,,,
Mushkin MRX4U360GKKP32G 32GB,24462,,,
G Skill Intl F4-3600C16-16GTESC 16GB,24444,,,
Corsair CMH16GX4M2Z3600C16 8GB,24424,,,
Lexar Co Limited LD4BU008G-3200KG 8GB,24420,,,
Corsair CMG32GX4M4E3200C16 8GB,24407,,,
A-DATA Technology AX4U32008G16A-BWHD45 8GB,24399,,,
G Skill Intl F4-4000C16-8GTZRA 8GB,24396,,,
G Skill Intl F4-4000C17-16GTRSB 16GB,24389,,,
G Skill Intl F4-3600C16-16GTRS 16GB,24382,,,
Mushkin MRX4U360GKKP8G 8GB,24376,,,
Acer BL.9BWWR.203 8GB,24375,,,
Lexar Co Limited LD4U16G32C16LG 16GB,24354,,,
Apacer Technology GD2.18278N.001 8GB,24352,,,
G Skill Intl F4-3600C14-8GTZNB 8GB,24343,,,
"PNY Technologies, Inc. 8GBF1X08TIPP46-145-K 8GB",24337,,,
A-DATA Technology AX4U3600716G18I-DT60 16GB,24324,,,
Mushkin MRX4U320EJJP32G 32GB,24281,,,
Essencore Limited KD48GU880-36A180Y 8GB,24276,,,
G Skill Intl F4-3600C14-16GTRG 16GB,24272,,,
Gold Key Technology Co Ltd NMUD416E82-4400G 16GB,24271,,,
Corsair CMG32GX4M4D3600C18 8GB,24263,,,
Corsair CMWX32GC3600C18W4D 32GB,24246,,,
G Skill Intl F4-3600C16-8GTZKK 8GB,24241,,,
G Skill Intl F4-4400C16-8GTZR 8GB,24240,,,
SanMax Technologies Inc. SMD4-U32G88MF-32AA 32GB,24207,,,
Crucial Technology BLM8G51C19U4B.M8FB1 8GB,24202,,,
A-DATA Technology AX4U36008G18I-DT60 8GB,24196,,,
Mushkin MLX4C360JNNM16G 16GB,24189,,,
Kingbank Technology Co Ltd 8GB,24185,,,
Corsair CMT32GX4M4D3600C18 8GB,24172,,,
Jazer JAD3600U1808 8GB,24133,,,
Mushkin MLA4C360GKKP32G 32GB,24118,,,
Lexar Co Limited LD4BU016G-H3600U0H 16GB,24088,,,
Mushkin MRX4U320GJJM8G 8GB,24033,,,
Asgard VMA47UH-AMC2U2BV3 16GB,24032,,,
Corsair CMN16GX4M2Z3600C16 8GB,24022,,,
Team Group Inc. TEAMGROUP-UD4-3733 8GB,24007,,,
Samsung M391A2K43DB1-CWE 16GB,24000,,,
Corsair CMW32GX4M2Z4000C18 16GB,23997,,,
Mushkin MR[ABC]4U360JNNM32G 32GB,23985,,,
Corsair CMK16GX4M2Z3600C14 8GB,23975,,,
Gold Key Technology Co Ltd NMGD416E82-3601D 16GB,23969,,,
V-Color Technology Inc. TL8G41819D-E6PRSWK 8GB,23962,,,
V-Color Technology Inc. TL1636818A-E6PRSWK 16GB,23958,,,
Kingston KF432C15BB/8-SP 8GB,23952,,,
Chun Well Technology Holding Limited ND4U1632162BRWDE 16GB,23940,,,
G Skill Intl F4-4000C17-16GVKB 16GB,23934,,,
Corsair CMN32GX4M2Z3600C16 16GB,23911,,,
V-Color Technology Inc. TD416G32D822 16GB,23908,,,
Lexar Co Limited LD4BU016G-H3600GLH 16GB,23900,,,
Crucial Technology BLM8G44C19U4BL.M8FE1 8GB,23899,,,
Mushkin MLX4C360GKKP16G 16GB,23898,,,
Apacer Technology GD2.1542WS.004 8GB,23896,,,
G Skill Intl F4-4400C17-16GTRS 16GB,23881,,,
Corsair CMH64GX4M2D3600C18 32GB,23879,,,
G Skill Intl F4-4400C17-16GTRG 16GB,23874,,,
"PNY Technologies, Inc. 8GBF1X08SHLL42-135-K 8GB",23870,,,
Gold Key Technology Co Ltd NMUD416E82-4600C 16GB,23861,,,
Kingston 9905734-191.A00G 32GB,23829,,,
A-DATA Technology AX4U320016G16A-DTWHD 16GB,23828,,,
Apacer Technology GD2.15278S.002 8GB,23827,,,
G Skill Intl F4-4800C20-16GTRS 16GB,23826,,,
Crucial Technology BL16G36C16U4WL.M8FB1 16GB,23813,,,
V-Color Technology Inc. TD48G32S822 8GB,23782,,,
Apacer Technology GD2.2227CS.003 8GB,23773,,,
Kingston HP37D4U1D8HD-16X 16GB,23770,,,
Crucial Technology BL32G36C16U4B.M16FB1 32GB,23744,,,
Lexar Co Limited LD4BU016G-3600LH 16GB,23723,,,
Gold Key Technology Co Ltd NMUD416F82-4000F 16GB,23713,,,
JUHOR JHD3600U1608JG 8GB,23695,,,
Mushkin MLX4C360GKKP32G 32GB,23685,,,
Jazer JAD3600U1808RGB 8GB,23673,,,
G Skill Intl F4-3600C14-16GTRSA 16GB,23664,,,
A-DATA Technology AX4U32008G16A-SWHD35 8GB,23648,,,
G Skill Intl F4-4266C17-16GTRSB 16GB,23645,,,
Acer BL.9BWWR.288 16GB,23630,,,
Patriot Memory (PDP Systems) 4133 C18 Series 8GB,23614,,,
G Skill Intl F4-4400C17-16GTZR 16GB,23611,,,
Micron Technology 18ASF2G72AZ-3G2R1 16GB,23604,,,
A-DATA Technology AX4U360016G18I-DTBKD 16GB,23601,,,
Corsair CMN32GX4M4Z3600C18 8GB,23578,,,
Mushkin MLX4C320GJJM8G 8GB,23562,,,
A-DATA Technology AX4U360016G18I-BT41 16GB,23561,,,
G Skill Intl F4-4000C16-8GTZN 8GB,23560,,,
Corsair CMN64GX4M4Z3200C16 16GB,23558,,,
A-DATA Technology AX4U36008G18I-DT41 8GB,23555,,,
G Skill Intl F4-3300C16-8GTZSW 8GB,23544,,,
Golden Empire CL18-24-24 D4-4000 8GB,23543,,,
Chun Well Technology Holding Limited MD4U0844181BRPDE 8GB,23540,,,
Kingston KF3600C16D4/16GX 16GB,23536,,,
Thermaltake Technology Co Ltd R009D416GX2-3200C16A 16GB,23532,,,
Kingston 9905734-157.A00G 32GB,23528,,,
G Skill Intl F4-3733C17-8GTZKK 8GB,23527,,,
G Skill Intl F4-3600C16-32GTZR 32GB,23521,,,
G Skill Intl F4-3600C16-16GTZN 16GB,23516,,,
Essencore Limited KD48GUA60-36A180C 8GB,23513,,,
Wilk Elektronik S.A. IRK32D464L16A/16G 16GB,23503,,,
Kingston KHX3600C17D4/8G 8GB,23498,,,
SK Hynix AFLD416PH1CA 16GB,23491,,,
Corsair CMK32GX4M4D3600C16 8GB,23485,,,
JUHOR JHD3600U1816JGRGB 16GB,23482,,,
A-DATA Technology AX4U36008G18I-ST41 8GB,23476,,,
G Skill Intl F4-4400C19-32GTZR 32GB,23462,,,
Gold Key Technology Co Ltd NMUD416E82-3200E 16GB,23452,,,
Kingston KF4600C19D4/16GX 16GB,23452,,,
A-DATA Technology AX4U320016G16A-SR30 16GB,23449,,,
G Skill Intl F4-4000C18-32GTES 32GB,23445,,,
Mushkin MRX4U320EJJP16G 16GB,23445,,,
Thermaltake Technology Co Ltd R020D408GX2-4400C19A 8GB,23443,,,
Corsair CMWS8GL3200K16W4E 8GB,23439,,,
Corsair CMK32GX4M2D3600C16 16GB,23435,,,
Chun Well Technology Holding Limited MD4U0836140BRADE 8GB,23434,,,
G Skill Intl F4-4000C17-16GTZRB 16GB,23426,,,
G Skill Intl F4-3800C18-32GTZN 32GB,23420,,,
SanMax Technologies Inc. SMD4-E32G88ME-32AA 32GB,23416,,,
Corsair CMN64GX4M2Z3600C18 32GB,23415,,,
Lexar Co Limited LD4BU016G-3600LA 16GB,23415,,,
SK Hynix HMAA4GU7CJR8N-XN 32GB,23414,,,
G Skill Intl F4-3800C14-8GTZN 8GB,23408,,,
G Skill Intl F4-4000C15-8GTZR 8GB,23398,,,
G Skill Intl F4-4000C18-32GTEG 32GB,23397,,,
G Skill Intl F4-3600C16-32GVK 32GB,23391,,,
A-DATA Technology AX4U320016G16A-ST41 16GB,23387,,,
Corsair CMW32GX4M4C3200C14 8GB,23351,,,
G Skill Intl F4-3200C14-16GTZKY 16GB,23343,,,
A-DATA Technology AX4U320016G16A-DT60 16GB,23337,,,
Essencore Limited KD4AGU880-36A180U 16GB,23335,,,
Corsair CMK16GX4M2D3600C16 8GB,23321,,,
Corsair CMW16GX4M2D3600C16 8GB,23320,,,
G Skill Intl F4-3800C16-16GTZN 16GB,23320,,,
Corsair CMT32GX4M4K3600C16 8GB,23294,,,
Corsair CMW16GX4M2Z4000C18 8GB,23292,,,
G Skill Intl F4-4000C14-16GTEG 16GB,23289,,,
Cuso YX4U3600E18082C 8GB,23283,,,
G Skill Intl F4-4400C16-8GVK 8GB,23282,,,
Mushkin MR[A/B]4U360JNNM32G 32GB,23278,,,
G Skill Intl F4-3600C16-32GTZN 32GB,23271,,,
Corsair CMHX16GD3200Z16H4 16GB,23271,,,
Corsair CMT64GX4M4Z3600C18 16GB,23267,,,
Corsair CMK16GX4M2C3200C16 8GB,23263,,,
Team Group Inc. TEAMGROUP-UD4-5066 8GB,23253,,,
Kingston CBD32D4U2D8MF-32 32GB,23252,,,
Hewlett-Packard 2E2L4AA# 16GB,23248,,,
Gold Key Technology Co Ltd NMGD416E82-4400G 16GB,23242,,,
Neo Forza NMGD480E82-3200D 8GB,23238,,,
Hewlett-Packard 7EH74AA# 8GB,23238,,,
Corsair CMW32GX4M4D3600C16 8GB,23237,,,
A-DATA Technology AX4U360016G18I-DT60 16GB,23227,,,
Gloway International Co. Ltd. ABY4U3600E18082C 8GB,23226,,,
V-Color Technology Inc. TL1646820C-E6PGAWK 16GB,23221,,,
A-DATA Technology AX4U320016G16A-DR30 16GB,23218,,,
V-Color Technology Inc. TO416G32D816CSPSXS 16GB,23216,,,
Apacer Technology GD2.1827CS.008 8GB,23207,,,
Samsung M378A4G43CB2-CWE 32GB,23203,,,
G Skill Intl F4-3600C16-8GTRSC 8GB,23199,,,
Kingston CBD32D4U2D8MR-16 16GB,23188,,,
Apacer Technology D32.27306S.002 32GB,23179,,,
Essencore Limited KD4AGU880-36A180C 16GB,23159,,,
A-DATA Technology AX4U36008G18I-SR30 8GB,23149,,,
Samsung ZIONBLAZE16GBXMP3000 16GB,23136,,,
G Skill Intl F4-4600C19-8GTZRE 8GB,23133,,,
Mushkin MR[ABC]4U360JNNM16G 16GB,23132,,,
OCPC MMX3A2K16GD436C18 8GB,23130,,,
G Skill Intl F4-4000C18-16GTRG 16GB,23125,,,
G Skill Intl F4-3600C16-8GTZSW 8GB,23108,,,
G Skill Intl F4-3600C16-8GTZN 8GB,23107,,,
G Skill Intl F4-3800C16-8GTZN 8GB,23089,,,
G Skill Intl F4-4600C18-8GTRG 8GB,23052,,,
Chun Well Technology Holding Limited D4U0832162B 8GB,23044,,,
Thermaltake Technology Co Ltd R022D416GX2-3600C18A 16GB,23043,,,
G Skill Intl F4-4000C15-8GVK 8GB,23037,,,
A-DATA Technology AX4U36008G18I-SBKD35 8GB,23015,,,
Lexar Co Limited LD4BU016G-3200XG 16GB,23012,,,
G Skill Intl F4-4400C16-8GTRS 8GB,23010,,,
Thermaltake Technology Co Ltd R022D416GX2-3200C16A 16GB,23003,,,
Corsair CMG16GX4M2C3200C18 8GB,22986,,,
Crucial Technology BL16G30C15U4RL.M16FE 16GB,22983,,,
Crucial Technology BL16G36C16U4B.M16FE1 16GB,22973,,,
Crucial Technology BL16G36C16U4R.M8FB1 16GB,22969,,,
Essencore Limited KD4AGUA80-36A180U 16GB,22967,,,
Corsair CMK16GX4M2Z4000C16 8GB,22965,,,
Wilk Elektronik S.A. IRP3600D4V64L18/16G 16GB,22959,,,
Corsair CMW16GX4M1Z3600C18 16GB,22957,,,
G Skill Intl F4-4400C18-8GVKC 8GB,22956,,,
G Skill Intl F4-4000C18-32GTZN 32GB,22955,,,
Essencore Limited KD4AGU880-36A180B 16GB,22939,,,
Corsair CM4X16GD3600C18K2D 16GB,22938,,,
Kingston KF3600C18D4/32GX 32GB,22923,,,
Corsair CMWX16GC3600C18W2D 16GB,22923,,,
Crucial Technology BLM8G40C18U4B.M8FE1 8GB,22921,,,
Corsair CMN32GX4M4Z3200C16 8GB,22921,,,
Micron Technology 18ASF4G72AZ-3G2F1 32GB,22916,,,
A-DATA Technology AX4U360032G18I-BBKD3 32GB,22904,,,
Lexar Co Limited LD4BU008G-3600WG 8GB,22904,,,
Crucial Technology BL8G36C16U4BL.M8FE1 8GB,22902,,,
EXCELERAM INNO115865 8GB,22901,,,
Chun Well Technology Holding Limited ND4U0832162BRPDE 8GB,22899,,,
Crucial Technology BL16G32C16U4WL.16FE 16GB,22897,,,
"PNY Technologies, Inc. 8GBF1X08RHLL42-135-K 8GB",22885,,,
Corsair CM4X16GD3600C18K4D 16GB,22883,,,
Kingston KF3733C19D4/16GX 16GB,22861,,,
"PNY Technologies, Inc. 16GF2X08RHJJ40-135-K 16GB",22841,,,
Kingston KF3600C16D4/8GX 8GB,22839,,,
Gold Key Technology Co Ltd NMGD416F82-4000F 16GB,22837,,,
G Skill Intl F4-4400C19-16GVK 16GB,22832,,,
Chun Well Technology Holding Limited MD4U1636181DRKDE 16GB,22832,,,
Crucial Technology CT32G4DFD832A.M16FF 32GB,22828,,,
Wilk Elektronik S.A. GX3236D464S/8GSBS1 8GB,22823,,,
A-DATA Technology AX4U320016G16A-BT50 16GB,22819,,,
Crucial Technology BL16G36C16U4B.M8FB1 16GB,22815,,,
Corsair CMT32GX4M2G4000C18 16GB,22812,,,
Corsair CMK32GX4M4K3600C16 8GB,22811,,,
G Skill Intl F4-4266C16-8GVK 8GB,22810,,,
V-Color Technology Inc. TL1642819C-E6PGAWK 16GB,22809,,,
KingSpec KS3200D4M13508G 8GB,22798,,,
G Skill Intl F4-4000C16-16GTRSA 16GB,22796,,,
A-DATA Technology AX4U360016G18I-CBKD4 16GB,22785,,,
G Skill Intl F4-3600C16-16GTZR 16GB,22782,,,
A-DATA Technology AX4U360016G18I-DT41 16GB,22775,,,
G Skill Intl F4-3600C16-32GTRS 32GB,22754,,,
Crucial Technology BL16G36C16U4W.M8FB1 16GB,22748,,,
Corsair CMN16GX4M2Z3600C18 8GB,22748,,,
Essencore Limited KD4BGUA80-32N220A 32GB,22747,,,
Kingston 9905702-128.A00G 8GB,22735,,,
"PNY Technologies, Inc. M4U32S682QMMM52-12 32GB",22732,,,
Micron Technology 16ATF4G64AZ-3G2F1 32GB,22728,,,
Wilk Elektronik S.A. IRH3200D464L16/16G 16GB,22727,,,
Gloway International Co. Ltd. TAC4U3200E18082C 8GB,22718,,,
Kingston KHX3200C16D4/8G 8GB,22715,,,
Kingston KF4000C19D4/16GX 16GB,22710,,,
Gold Key Technology Co Ltd NMGD480E82-3601D 8GB,22705,,,
OCPC MMX3A2K32GD436C18 16GB,22692,,,
G Skill Intl F4-4600C18-8GTZR 8GB,22688,,,
G Skill Intl F4-3466C16-16GTZR 16GB,22688,,,
A-DATA Technology AO2P32NCST2-BA5S 16GB,22679,,,
Kingston HP37D4U1D8HD-16XR 16GB,22673,,,
Samsung 16GXMP3200CL16 16GB,22669,,,
Apacer Technology GD2.1843BS.00B 16GB,22667,,,
Kingston KF4800C19D4/8GX 8GB,22656,,,
G Skill Intl F4-3600C16-8GVK 8GB,22654,,,
G Skill Intl F4-4266C19-16GVK 16GB,22652,,,
Mushkin MR[ABC]4U360JNNM8G 8GB,22650,,,
Apacer Technology D12.2326BS.003 16GB,22648,,,
Chun Well Technology Holding Limited MD4U0840180BCW 8GB,22637,,,
Corsair CMH16GX4M2Z3600C18 8GB,22630,,,
Corsair CMD16GX4M2B3466C16 8GB,22628,,,
Corsair CMT16GX4M2G4000C16 8GB,22619,,,
Apacer Technology GD2.1827CS.009 8GB,22619,,,
Essencore Limited KD48GU880-42B190Z 8GB,22619,,,
Kingston KDK8NX-MIF 16GB,22611,,,
Mushkin MR[ABC]4U320GJJM16G 16GB,22600,,,
Essencore Limited KD4AGU880-32A160X 16GB,22598,,,
Essencore Limited KD48GU880-40B190C 8GB,22596,,,
Kingston LV32D4U2S8HD-8F 8GB,22595,,,
A-DATA Technology AX4U360016G18I-DB10 16GB,22592,,,
G Skill Intl F4-4600C20-32GVK 32GB,22588,,,
Patriot Memory (PDP Systems) 3866 C18 Series 8GB,22587,,,
G Skill Intl F4-3200C14-16GTZKW 16GB,22583,,,
Corsair CMHX8GD3200Z16H4 8GB,22581,,,
Mushkin MRX4U400JNNM16G 16GB,22571,,,
Gold Key Technology Co Ltd NMGD432F82-3601D 32GB,22566,,,
Corsair CMT32GX4M2Z3600C18 16GB,22558,,,
Chun Well Technology Holding Limited MD4U0836163BCW 8GB,22557,,,
Crucial Technology BL8G36C16U4WL.M8FE1 8GB,22536,,,
Corsair CMG64GX4M2E3200C16 32GB,22530,,,
Jazer JAD3600U1816 16GB,22524,,,
Corsair CMK128GX4M4Z3600C18 32GB,22517,,,
Corsair CMWX8GD3600C18W4 8GB,22513,,,
G Skill Intl F4-4000C17-8GTRS 8GB,22504,,,
Corsair CMK16GX4M2Z4000C18 8GB,22504,,,
Avant Technology W724GU44J2320NA 32GB,22500,,,
Chun Well Technology Holding Limited D4U0836163B 8GB,22498,,,
Crucial Technology BL16G36C16U4BL.M8FB1 16GB,22498,,,
Kingston HX432C16FB3/16-SP 16GB,22489,,,
Corsair CMW32GX4M4Z4000C18 8GB,22481,,,
Kingston XC1D25-MIE-NX 32GB,22469,,,
Kingston KF2666C13D4/16GX 16GB,22468,,,
Crucial Technology BL16G36C16U4RL.M8FB1 16GB,22467,,,
Mushkin MLX4C413KOOP16G 16GB,22461,,,
Kingston KF432C16BB1/16 16GB,22460,,,
Corsair CMN32GX4M2Z3600C18 16GB,22458,,,
Gold Key Technology Co Ltd NMGD480E82-3600D 8GB,22452,,,
Crucial Technology BLM16G40C18U4B.M8FB1 16GB,22452,,,
Galaxy Microsystems Ltd. D4U1636180B 16GB,22448,,,
A-DATA Technology AX4U36008G18I-BT50 8GB,22447,,,
A-DATA Technology DDR4 4133 2OZ 8GB,22439,,,
Crucial Technology CT16G4DFS832A.M16FE 16GB,22439,,,
Crucial Technology BL16G36C16U4R.M16FE1 16GB,22432,,,
Crucial Technology CT8G4DFRA32A.C8FT 8GB,22425,,,
Mushkin MLX4C320GJJM32G 32GB,22420,,,
Ramaxel Technology RMUA5200ME88HBF-3200 16GB,22419,,,
G Skill Intl F4-3200C14-32GTRG 32GB,22417,,,
Thermaltake Technology Co Ltd RA24D408GX2-3600C18A 8GB,22412,,,
G Skill Intl F4-3200C14-16GFX 16GB,22408,,,
Essencore Limited KD48GS880-32N220D 8GB,22406,,,
Century Micro Inc. CENTURY MICRO XMP2.0 32GB,22405,,,
Crucial Technology BL8G36C16U4B.M8FE1 8GB,22401,,,
Corsair CMH16GX4M2Z4000C18 8GB,22395,,,
Apacer Technology GD2.2242CS.003 8GB,22392,,,
G Skill Intl F4-3200C14-32GTZR 32GB,22391,,,
Essencore Limited KD48GU880-40B190X 8GB,22383,,,
G Skill Intl F4-3600C14-8GTZRA 8GB,22375,,,
Kingston 9905734-400.A00G 32GB,22375,,,
Galaxy Microsystems Ltd. HOF OC LAB 8GB,22370,,,
A-DATA Technology AX4U320016G16A-BBK20 16GB,22367,,,
Kingmax Semiconductor GZOG43F-18---------- 8GB,22352,,,
Kingston KF3600C17D4/8GX 8GB,22349,,,
G Skill Intl F4-4000C18-16GTRS 16GB,22349,,,
G Skill Intl F4-3200C14-16GTZN 16GB,22346,,,
OCPC MMX3A2K32GD440C19BL 16GB,22342,,,
Corsair CMN32GX4M2Z4600C18 16GB,22340,,,
A-DATA Technology AX4U36008G18I-DTBKD3 8GB,22327,,,
Thermaltake Technology Co Ltd R009R432GX2-3600C18A 32GB,22325,,,
G Skill Intl F4-4800C20-16GTZR 16GB,22322,,,
G Skill Intl F4-4400C18-8GTZRC 8GB,22305,,,
Crucial Technology CT16G4DFS832A.M8FE 16GB,22295,,,
Corsair CM4X32GC3600C18K2D 32GB,22291,,,
G Skill Intl F4-3733C17-8GTZR 8GB,22289,,,
Essencore Limited KD4AGU88D-32N2200 16GB,22269,,,
Corsair CMK64GX4M4D3600C18 16GB,22267,,,
Gloway International Co. Ltd. TAC4U3200E16082C 8GB,22267,,,
G Skill Intl F4-4600C20-16GTZR 16GB,22262,,,
ASint Technology ASDD416GB-WIN 16GB,22254,,,
Essencore Limited KD4AGUA80-32A160U 16GB,22249,,,
Corsair CMT16GX4M2D3600C18 8GB,22246,,,
Mushkin MLX4C400JNNM8G 8GB,22233,,,
Avant Technology W642GU42J2320NH 16GB,22230,,,
SK Hynix DDR4 8GB 3200MHz 8GB,22228,,,
Kingston KF436C18BB/16-SP 16GB,22226,,,
G Skill Intl F4-4133C19-8GTZKKF 8GB,22226,,,
A-DATA Technology AX4U320016G16A-DW10 16GB,22225,,,
Panram International Corporation D4U3200PS-8G 8GB,22224,,,
Corsair CMD16GX4M2B3733C17 8GB,22223,,,
G Skill Intl F4-3600C16-8GTZ 8GB,22222,,,
